Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2023,1.98,2.00,1.94,1.98,1.972868553682576026,379965,750,749621.00,274240,72.18,0.06,0.00
31-May-2023,2.04,2.04,1.98,2.00,2.010795738109688238,723341,701,1454491.00,552179,76.34,0.06,-0.04
30-May-2023,2.16,2.16,2.00,2.01,2.048459098321198215,729151,963,1493636.00,537585,73.73,0.16,-0.15
29-May-2023,1.92,2.29,1.91,2.15,2.162586277952109449,2465288,1330,5331398.00,1819897,73.82,0.38,0.23
26-May-2023,1.95,1.98,1.90,1.91,1.916283594953900801,459444,667,880425.00,374832,81.58,0.08,-0.04
25-May-2023,1.96,1.96,1.90,1.94,1.936753702327671119,289345,516,560390.00,193289,66.80,0.06,-0.02
24-May-2023,1.87,1.93,1.83,1.91,1.898850891708034565,326340,710,619671.00,255005,78.14,0.10,0.04
23-May-2023,1.90,1.94,1.90,1.90,1.912302295784410510,714135,750,1365642.00,569581,79.76,0.04,0.00
22-May-2023,1.94,1.96,1.91,1.92,1.927261889914527699,617393,1246,1189878.00,434113,70.31,0.05,-0.02
19-May-2023,1.96,1.96,1.92,1.93,1.937753069178377100,448247,573,868592.00,302162,67.41,0.04,-0.03
18-May-2023,1.97,1.97,1.93,1.93,1.944774406200472828,379842,566,738707.00,230659,60.72,0.04,-0.04
17-May-2023,1.98,1.98,1.93,1.95,1.954999390946656297,533615,671,1043217.00,387426,72.60,0.05,-0.03
16-May-2023,1.99,1.99,1.94,1.96,1.954050637600363020,431932,694,844017.00,341925,79.16,0.05,-0.03
15-May-2023,2.00,2.00,1.93,1.97,1.955283803400521587,558679,681,1092376.00,394116,70.54,0.07,-0.03
12-May-2023,1.95,1.97,1.92,1.95,1.947611205527295702,341867,555,665824.00,203874,59.64,0.05,0.00
11-May-2023,1.97,2.00,1.92,1.96,1.957198870626554437,564915,715,1105651.00,419132,74.19,0.08,-0.01
10-May-2023,2.01,2.01,1.90,1.97,1.962753856971501840,386832,726,759256.00,288954,74.70,0.11,-0.04
9-May-2023,1.98,1.99,1.93,1.98,1.969774666172106824,431360,641,849682.00,328541,76.16,0.06,0.00
8-May-2023,1.97,2.01,1.92,1.95,1.963396270895486458,602343,916,1182638.00,515394,85.56,0.09,-0.02
5-May-2023,2.01,2.04,1.96,1.97,1.981433176612513431,500678,783,992060.00,409142,81.72,0.08,-0.04
4-May-2023,1.98,2.01,1.96,2.01,1.990106363156831201,381053,642,758336.00,320906,84.22,0.05,0.03
