Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-March-2023,6.06,6.68,6.06,6.31,6.181378548613391444,33499,160,207070.00,25058,74.80,0.62,0.25
23-March-2023,6.57,6.57,6.37,6.37,6.374262617435001092,4577,51,29175.00,4577,100.00,0.20,-0.20
22-March-2023,6.70,6.70,6.70,6.70,6.699987970648382052,16626,60,111394.00,16626,100.00,0.00,0.00
21-March-2023,7.78,7.79,7.05,7.05,7.316811290812708917,59234,131,433404.00,50856,85.86,0.74,-0.73
20-March-2023,7.42,7.42,7.42,7.42,7.419984668801010055,22177,51,164553.00,22176,100.00,0.00,0.00
17-March-2023,7.07,7.07,7.07,7.07,7.069927069927069927,6993,32,49440.00,6993,100.00,0.00,0.00
16-March-2023,6.74,6.74,6.42,6.74,6.707966535555971779,32034,151,214883.00,26919,84.03,0.32,0.00
15-March-2023,6.41,6.42,6.41,6.42,6.419053019563368301,10581,57,67920.00,10581,100.00,0.01,0.01
14-March-2023,6.12,6.12,6.12,6.12,6.119992013842672700,15026,63,91959.00,15026,100.00,0.00,0.00
13-March-2023,5.83,5.83,5.83,5.83,5.829981370946279892,26303,61,153346.00,23533,89.47,0.00,0.00
10-March-2023,5.30,5.56,5.25,5.56,5.509090628234240079,64737,159,356642.00,53447,82.56,0.31,0.26
9-March-2023,5.60,5.60,5.13,5.30,5.291263902196456076,82451,306,436270.00,62564,75.88,0.47,-0.30
8-March-2023,5.90,5.90,5.45,5.69,5.666660413109956287,53303,201,302050.00,39084,73.32,0.45,-0.21
6-March-2023,6.45,6.67,5.83,5.90,6.061968990545410980,100163,320,607185.00,83130,82.99,0.84,-0.55
3-March-2023,6.45,6.66,6.45,6.47,6.521461123511904761,43008,162,280475.00,40511,94.19,0.21,0.02
2-March-2023,6.71,7.05,6.66,6.80,6.819808093955262281,33037,151,225306.00,26054,78.86,0.39,0.09
