Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-May-2022,658.00,659.45,633.50,635.90,647.006401939844427196,176509,6687,114202453.00,72408,41.02,25.95,-22.10
12-May-2022,669.00,669.00,644.10,649.35,653.780806208852529513,293001,16532,191558430.00,119077,40.64,24.90,-19.65
11-May-2022,664.00,676.60,655.70,672.45,663.725177196290094414,407881,9407,270720889.00,191719,47.00,20.90,8.45
10-May-2022,664.05,672.15,657.80,659.75,663.700197308952124230,308653,13264,204853057.00,129033,41.81,14.35,-4.30
9-May-2022,659.80,668.85,649.05,664.05,661.749416710531931541,281164,10702,186060113.00,93688,33.32,19.80,4.25
6-May-2022,691.00,692.25,668.30,673.20,676.932191064980452225,361678,15220,244831481.00,129513,35.81,23.95,-17.80
5-May-2022,718.00,721.65,699.25,702.05,711.009881922854088635,122547,4649,87132128.00,41683,34.01,22.40,-15.95
4-May-2022,736.00,736.00,704.20,706.75,726.438111814648215530,2513016,7687,1825550598.00,2368815,94.26,31.80,-29.25
2-May-2022,724.70,738.00,719.55,727.30,729.282449288595272988,390987,15472,285139957.00,171466,43.85,18.45,2.60
29-April-2022,769.00,769.00,725.00,728.70,742.684887401188022545,987355,35723,733293637.00,396587,40.17,44.00,-40.30
28-April-2022,777.60,785.20,766.35,779.95,770.349510147141508333,754104,7897,580923647.00,596144,79.05,18.85,2.35
27-April-2022,768.40,772.85,749.05,766.10,762.397745974610935199,207806,8616,158430826.00,46773,22.51,23.80,-2.30
26-April-2022,790.00,796.60,769.30,775.20,790.129686963549468144,329131,3893,260056174.00,79365,24.11,27.30,-14.80
25-April-2022,773.85,788.50,762.00,780.70,781.645371097191740223,124846,4207,97585298.00,15152,12.14,26.50,6.85
22-April-2022,797.00,797.25,778.35,780.35,785.417594270167423090,165031,6748,129618251.00,52878,32.04,18.90,-16.65
21-April-2022,794.00,804.00,790.65,801.85,797.559988881864358745,183484,7880,146339497.00,79211,43.17,13.35,7.85
20-April-2022,799.00,802.00,788.55,794.75,795.764219379998678035,242064,8605,192625870.00,74288,30.69,13.45,-4.25
19-April-2022,803.00,816.00,785.20,798.05,808.240541918846882908,519635,21029,419990074.00,233877,45.01,30.80,-4.95
18-April-2022,782.00,801.60,775.95,799.15,787.480425638772050976,159290,4276,125437757.00,49270,30.93,25.65,17.15
13-April-2022,805.00,809.50,790.95,792.95,797.645704896852925894,284836,8092,227198212.00,75616,26.55,18.55,-12.05
